# warps=4 (на планировщик 1.00)  iters=2000  blocks=80  reps=7
вариант      NH    NI    NC    NP    NS    SW    NF | тактов/ит     мин
h1                   1     0     0     1     0    32     0 |    26.0215    26.0215
h2                   2     0     0     1     0    32     0 |    33.0260    33.0260
h4                   4     0     0     1     0    32     0 |    47.0420    47.0420
h8                   8     0     0     1     0    32     0 |    79.0425    79.0420
h16                 16     0     0     1     0    32     0 |   143.0425   143.0420
h8+i1                8     1     0     1     0    32     0 |    79.0420    79.0420
h8+i2                8     2     0     1     0    32     0 |    79.0415    79.0410
h8+i4                8     4     0     1     0    32     0 |    81.0420    81.0415
h8+i6                8     6     0     1     0    32     0 |    83.0425    83.0425
h8+i8                8     8     0     1     0    32     0 |    85.0435    85.0430
h8+i12               8    12     0     1     0    32     0 |    92.0445    92.0440
h8+i16               8    16     0     1     0    32     0 |    96.0450    96.0450
h8+i24               8    24     0     1     0    32     0 |   101.0470   101.0470
h8+c1                8     0     1     1     0    32     0 |    81.0420    81.0420
h8+c2                8     0     2     1     0    32     0 |    83.0410    83.0410
h8+c4                8     0     4     1     0    32     0 |    91.0400    91.0400
h8+c6                8     0     6     1     0    32     0 |    99.0395    99.0390
h8+c8                8     0     8     1     0    32     0 |   107.0395   107.0390
h8+c12               8     0    12     1     0    32     0 |   123.0380   123.0370
h8+c16               8     0    16     1     0    32     0 |   139.0355   139.0350
h8+c24               8     0    24     1     0    32     0 |   171.0335   171.0330
h8+s1x32             8     0     0     1     1    32     0 |    80.0505    80.0505
h8+s2x32             8     0     0     1     2    32     0 |   107.0505   107.0505
h8+s4x32             8     0     0     1     4    32     0 |   134.0515   134.0515
h8+s8x32             8     0     0     1     8    32     0 |   111.0450   111.0445
h8+s16x32            8     0     0     1    16    32     0 |   141.0770   141.0480
h8+s1x64             8     0     0     1     1    64     0 |    81.0505    81.0505
h8+s2x64             8     0     0     1     2    64     0 |    81.0510    81.0505
h8+s4x64             8     0     0     1     4    64     0 |   115.0500   114.0505
h8+s8x64             8     0     0     1     8    64     0 |   115.0430   113.2395
h8+s1x128            8     0     0     1     1   128     0 |    83.0505    83.0505
h8+s2x128            8     0     0     1     2   128     0 |    91.0505    91.0505
h8+s4x128            8     0     0     1     4   128     0 |   156.0860   156.0860
h8+s8x128            8     0     0     1     8   128     0 |   170.2430   170.1730
h8+f4                8     0     0     1     0    32     4 |    80.0490    80.0490
h8+f8                8     0     0     1     0    32     8 |    84.0535    84.0535
h8+f16               8     0     0     1     0    32    16 |    92.0680    92.0680
i8                   0     8     0     1     0    32     0 |    29.0200    29.0200
i16                  0    16     0     1     0    32     0 |    45.0170    45.0170
c16                  0     0    16     1     0    32     0 |    71.0865    71.0830
s8x32                0     0     0     1     8    32     0 |    61.0170    61.0165
s8x64                0     0     0     1     8    64     0 |    92.0745    92.0680
s8x128               0     0     0     1     8   128     0 |   132.1335   132.1310
f16                  0     0     0     1     0    32    16 |    42.1045    42.1040
h8+i8+s4x64          8     8     0     1     4    64     0 |    92.0460    92.0455
h8+c8+s4x64          8     0     8     1     4    64     0 |   117.0470   117.0470
c1                   0     0     1     1     0    32     0 |    26.0825    26.0815
c2                   0     0     2     1     0    32     0 |    26.0825    26.0815
c4                   0     0     4     1     0    32     0 |    26.0820    26.0820
c8                   0     0     8     1     0    32     0 |    39.0835    39.0825
c32                  0     0    32     1     0    32     0 |   135.0875   135.0830
i1                   0     1     0     1     0    32     0 |    26.0160    26.0160
i2                   0     2     0     1     0    32     0 |    28.0150    28.0150
i4                   0     4     0     1     0    32     0 |    26.0160    26.0160
i32                  0    32     0     1     0    32     0 |    77.0165    77.0165
s1x32                0     0     0     1     1    32     0 |    38.0200    38.0200
s2x32                0     0     0     1     2    32     0 |    46.0150    46.0150
s4x32                0     0     0     1     4    32     0 |    45.0175    45.0175
s16x32               0     0     0     1    16    32     0 |    93.0210    93.0210
s1x64                0     0     0     1     1    64     0 |    43.0235    43.0235
s4x64                0     0     0     1     4    64     0 |    55.0285    55.0285
s2x128               0     0     0     1     2   128     0 |    57.1220    57.1220
s4x128               0     0     0     1     4   128     0 |    75.3860    74.0610
f4                   0     0     0     1     0    32     4 |    26.0925    26.0920
f8                   0     0     0     1     0    32     8 |    26.0970    26.0970
f32                  0     0     0     1     0    32    32 |    74.1200    74.1190
h4+i8                4     8     0     1     0    32     0 |    53.0430    53.0430
h4+c8                4     0     8     1     0    32     0 |    75.0390    75.0390
h16+i8              16     8     0     1     0    32     0 |   149.0435   149.0430
h16+c8              16     0     8     1     0    32     0 |   171.0395   171.0390
h16+s8x64           16     0     0     1     8    64     0 |   153.1190   153.1160
h2+i16               2    16     0     1     0    32     0 |    56.0280    56.0280
h8+i8+c8             8     8     8     1     0    32     0 |   110.0395   110.0395
h8+f8+s4x64          8     0     0     1     4    64     8 |    91.1145    89.2810
h8+c8x1              8     0     8     1     0    32     0 |   107.0390   107.0390
h8+c4x2              8     0     4     2     0    32     0 |    93.0400    93.0395
h8+c2x4              8     0     2     4     0    32     0 |    87.0400    87.0390
h8+c1x8              8     0     1     8     0    32     0 |    89.0405    89.0395
h8+c16x1             8     0    16     1     0    32     0 |   139.0355   139.0350
h8+c8x2              8     0     8     2     0    32     0 |   109.0365   109.0360
h8+c4x4              8     0     4     4     0    32     0 |    99.0365    99.0360
h8+c2x8              8     0     2     8     0    32     0 |    99.0370    99.0360
c16x1                0     0    16     1     0    32     0 |    71.0865    71.0830
c8x2                 0     0     8     2     0    32     0 |    47.0815    47.0810
c4x4                 0     0     4     4     0    32     0 |    45.0795    45.0785
c2x8                 0     0     2     8     0    32     0 |    47.0745    47.0740
c1x16                0     0     1    16     0    32     0 |    45.0690    45.0680
