# ОСЬ АДРЕСА: та же КОМАНДА, DUP полос читают ОДИН адрес. 7 раундов, чужих 0
# прежняя ставка модели (ширина*32 байт) от DUP не зависит -> на DUP>=2 она НАРУШАЕТ
# собственную нижнюю границу; безопасная ставка = max(128, ширина*32/2)
тело          DUP   уник.Б        W=4       W=8      W=12      W=16
s8x32d1         1      128     61.02     67.29     96.83    128.92
s8x32d2         2       64     59.02     64.81     96.92    128.75
s8x32d4         4       32     59.02     66.09     96.78    128.76
s8x32d8         8       16     59.02     64.74     96.90    128.75
s8x32d16       16        8     59.02     64.71     96.88    128.76
s8x32d32       32        4     59.02     64.80     96.86    128.65
s8x64d1         1      256     92.07    128.06    192.23    256.48
s8x64d2         2      128     71.02     72.53     97.94    131.10
s8x64d4         4       64     71.02     72.41     97.96    131.10
s8x64d8         8       32     71.02     75.18     97.93    131.06
s8x64d16       16       16     71.02     72.71     97.94    131.09
s8x64d32       32        8     71.02     74.04     97.89    130.23
s8x128d1        1      512    132.13    261.07    384.08    515.00
s8x128d2        2      256    101.03    133.78    194.64    259.24
s8x128d4        4      128    100.84    133.76    194.50    259.25
s8x128d8        8       64    101.03    133.78    194.64    259.24
s8x128d16      16       32     99.66    134.41    194.71    259.70
s8x128d32      32       16     97.04    135.09    194.23    257.91
