# КАНАЛ MIO В ВАЙВФРОНТАХ. Закон: вайвфронтов/команду = max(конфликтность, ширина/8Б, 1),
# конвейер отдаёт 1 вайвфронт за такт на SM.  Предсказание = вайвфронты*8 обращений*W варпов.
# 'ncu' -- независимый счётчик l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld (вайвфронтов/команду).
# чужих процессов 0 на всех точках.
тело               W  шир  DUP  STRB  уник.Б  конфл  вайвф  предсказ     ЗАМЕР   ошиб%     ncu
k8x32.st4          8    4    1     4     128      1    1.0      64.0      67.1    +4.9   1.000
s8x32d1            8    4    1     4     128      1    1.0      64.0      67.3    +5.1       -
s8x32d2            8    4    2     4      64      1    1.0      64.0      64.8    +1.3       -
s8x32d4            8    4    4     4      32      1    1.0      64.0      66.1    +3.3       -
s8x32d8            8    4    8     4      16      1    1.0      64.0      64.7    +1.2       -
s8x32d16           8    4   16     4       8      1    1.0      64.0      64.7    +1.1       -
s8x32d32           8    4   32     4       4      1    1.0      64.0      64.8    +1.3   1.000
k8x32.st8          8    4    1     8     128      2    2.0     128.0     128.0    +0.0   2.000
k8x32.st16         8    4    1    16     128      4    4.0     256.0     256.0    +0.0       -
k8x32.st32         8    4    1    32     128      8    8.0     512.0     512.0    +0.0   8.000
k8x32.st64         8    4    1    64     128     16   16.0    1024.0    1024.0    +0.0       -
k8x32.st128        8    4    1   128     128     32   32.0    2048.0    2048.0    +0.0  32.000
k8x32.st128d2      8    4    2   128      64     16   16.0    1024.0    1024.0    +0.0       -
k8x32.st128d4      8    4    4   128      32      8    8.0     512.0     512.0    +0.0       -
k8x32.st128d8      8    4    8   128      16      4    4.0     256.0     256.0    +0.0       -
k8x32.st128d16     8    4   16   128       8      2    2.0     128.0     128.0    +0.0       -
k8x32.st128d32     8    4   32   128       4      1    1.0      64.0      64.8    +1.3   1.000
k8x32.st132        8    4    1   132     128      1    1.0      64.0      67.7    +5.8   1.000
k8x32.st256        8    4    1   256     128     32   32.0    2048.0    2048.0    +0.0  32.000
k8x64.st8          8    8    1     8     256      2    2.0     128.0     128.1    +0.0   2.000
s8x64d1            8    8    1     8     256      2    2.0     128.0     128.1    +0.0   2.000
s8x64d2            8    8    2     8     128      1    1.0      64.0      72.5   +13.3   1.000
s8x64d4            8    8    4     8      64      1    1.0      64.0      72.4   +13.1       -
s8x64d8            8    8    8     8      32      1    1.0      64.0      75.2   +17.5       -
s8x64d16           8    8   16     8      16      1    1.0      64.0      72.7   +13.6       -
s8x64d32           8    8   32     8       8      1    1.0      64.0      74.0   +15.7       -
k8x64.st16         8    8    1    16     256      4    4.0     256.0     256.1    +0.0       -
k8x64.st32         8    8    1    32     256      8    8.0     512.0     512.1    +0.0       -
k8x64.st128        8    8    1   128     256     32   32.0    2048.0    2048.1    +0.0       -
k8x64.st128d2      8    8    2   128     128     16   16.0    1024.0    1024.1    +0.0       -
k8x64.st128d32     8    8   32   128       8      1    1.0      64.0      74.0   +15.7   1.000
k8x128.st16        8   16    1    16     512      4    4.0     256.0     260.0    +1.6   4.000
s8x128d1           8   16    1    16     512      4    4.0     256.0     261.1    +2.0   4.000
s8x128d2           8   16    2    16     256      2    2.0     128.0     133.8    +4.5       -
s8x128d4           8   16    4    16     128      1    2.0     128.0     133.8    +4.5       -
s8x128d8           8   16    8    16      64      1    2.0     128.0     133.8    +4.5       -
s8x128d16          8   16   16    16      32      1    2.0     128.0     134.4    +5.0       -
s8x128d32          8   16   32    16      16      1    2.0     128.0     135.1    +5.5   2.000
k8x128.st32        8   16    1    32     512      8    8.0     512.0     512.0    +0.0       -
k8x128.st32d2      8   16    2    32     256      4    4.0     256.0     256.0    +0.0       -
k8x128.st32d4      8   16    4    32     128      2    2.0     128.0     133.8    +4.5       -
k8x128.st32d32     8   16   32    32      16      1    2.0     128.0     135.1    +5.5   2.000
k8x128.st64        8   16    1    64     512     16   16.0    1024.0    1024.1    +0.0       -
k8x128.st128       8   16    1   128     512     32   32.0    2048.0    2048.1    +0.0       -
k8x128.st144       8   16    1   144     512      4    4.0     256.0     258.1    +0.8   4.000
k8x32.st4         16    4    1     4     128      1    1.0     128.0     128.9    +0.7   1.000
s8x32d1           16    4    1     4     128      1    1.0     128.0     128.9    +0.7       -
s8x32d2           16    4    2     4      64      1    1.0     128.0     128.8    +0.6       -
s8x32d4           16    4    4     4      32      1    1.0     128.0     128.8    +0.6       -
s8x32d8           16    4    8     4      16      1    1.0     128.0     128.8    +0.6       -
s8x32d16          16    4   16     4       8      1    1.0     128.0     128.8    +0.6       -
s8x32d32          16    4   32     4       4      1    1.0     128.0     128.7    +0.5   1.000
k8x32.st8         16    4    1     8     128      2    2.0     256.0     256.2    +0.1   2.000
k8x32.st16        16    4    1    16     128      4    4.0     512.0     512.1    +0.0       -
k8x32.st32        16    4    1    32     128      8    8.0    1024.0    1024.1    +0.0   8.000
k8x32.st64        16    4    1    64     128     16   16.0    2048.0    2048.1    +0.0       -
k8x32.st128       16    4    1   128     128     32   32.0    4096.0    4096.1    +0.0  32.000
k8x32.st128d2     16    4    2   128      64     16   16.0    2048.0    2048.1    +0.0       -
k8x32.st128d4     16    4    4   128      32      8    8.0    1024.0    1024.1    +0.0       -
k8x32.st128d8     16    4    8   128      16      4    4.0     512.0     512.1    +0.0       -
k8x32.st128d16    16    4   16   128       8      2    2.0     256.0     256.3    +0.1       -
k8x32.st128d32    16    4   32   128       4      1    1.0     128.0     128.7    +0.5   1.000
k8x32.st132       16    4    1   132     128      1    1.0     128.0     128.9    +0.7   1.000
k8x32.st256       16    4    1   256     128     32   32.0    4096.0    4096.1    +0.0  32.000
k8x64.st8         16    8    1     8     256      2    2.0     256.0     256.5    +0.2   2.000
s8x64d1           16    8    1     8     256      2    2.0     256.0     256.5    +0.2   2.000
s8x64d2           16    8    2     8     128      1    1.0     128.0     131.1    +2.4   1.000
s8x64d4           16    8    4     8      64      1    1.0     128.0     131.1    +2.4       -
s8x64d8           16    8    8     8      32      1    1.0     128.0     131.1    +2.4       -
s8x64d16          16    8   16     8      16      1    1.0     128.0     131.1    +2.4       -
s8x64d32          16    8   32     8       8      1    1.0     128.0     130.2    +1.7       -
k8x64.st16        16    8    1    16     256      4    4.0     512.0     512.1    +0.0       -
k8x64.st32        16    8    1    32     256      8    8.0    1024.0    1024.1    +0.0       -
k8x64.st128       16    8    1   128     256     32   32.0    4096.0    4096.1    +0.0       -
k8x64.st128d2     16    8    2   128     128     16   16.0    2048.0    2048.1    +0.0       -
k8x64.st128d32    16    8   32   128       8      1    1.0     128.0     130.2    +1.7   1.000
k8x128.st16       16   16    1    16     512      4    4.0     512.0     515.4    +0.7   4.000
s8x128d1          16   16    1    16     512      4    4.0     512.0     515.0    +0.6   4.000
s8x128d2          16   16    2    16     256      2    2.0     256.0     259.2    +1.3       -
s8x128d4          16   16    4    16     128      1    2.0     256.0     259.3    +1.3       -
s8x128d8          16   16    8    16      64      1    2.0     256.0     259.2    +1.3       -
s8x128d16         16   16   16    16      32      1    2.0     256.0     259.7    +1.4       -
s8x128d32         16   16   32    16      16      1    2.0     256.0     257.9    +0.7   2.000
k8x128.st32       16   16    1    32     512      8    8.0    1024.0    1024.4    +0.0       -
k8x128.st32d2     16   16    2    32     256      4    4.0     512.0     512.1    +0.0       -
k8x128.st32d4     16   16    4    32     128      2    2.0     256.0     259.2    +1.3       -
k8x128.st32d32    16   16   32    32      16      1    2.0     256.0     257.9    +0.7   2.000
k8x128.st64       16   16    1    64     512     16   16.0    2048.0    2050.1    +0.1       -
k8x128.st128      16   16    1   128     512     32   32.0    4096.0    4097.7    +0.0       -
k8x128.st144      16   16    1   144     512      4    4.0     512.0     514.8    +0.6   4.000

точек 90, медиана |ошибки| предсказания 0.6%, максимум 17.5%
