# СДВИГ ИЗЛОМА ПО ЗАНЯТОСТИ: __launch_bounds__(W*32,1), карта 1, 5 раундов, чужих 0
# СОСТОЯНИЕ КАРТЫ 1 ПО КАЖДОМУ СТОЛБЦУ (занятость: чужих / МГц / Вт):
#   W12:0/135/24.16  W16:0/1530/50.68  W24:0/1530/51.14  W32:0/1530/52.90
# бюджет Q(W) = min(255, 8*floor(256/W)) -- подтверждён прямым опросом ptxas
# предсказание излома: MaxLive* = Q-7, то есть NP* = Q-9
NP     W=12(Q=168) W=16(Q=128)  W=24(Q=80)  W=32(Q=64)
8             61.6        81.4       123.5       164.9
16           108.0       147.0       216.2       288.2
24           156.0       208.1       312.6       416.7
32           205.2       273.8       409.2       546.2
40           252.0       342.0       505.6       672.6
48           300.1       400.2       600.4       800.6
56           348.0       464.9       697.4       930.0
64           397.0       528.4       792.8      2258.3
72           444.2       592.5       889.4     19020.4
80           492.4       657.3      1688.6     41728.9
88           541.1       721.1     11559.6     59627.1
96           588.3       785.0     25336.4     73858.2
104          636.5       848.4     38678.1     86017.2
112          684.2       913.3     49154.7     98000.7
120          732.8       977.3     61456.2    109274.6
128          780.8      1410.9     70271.1    120478.2
136          828.5      4426.8     80177.3    131190.6
144          876.8     11019.1     87944.2    142427.8
152          924.5     18476.6     96032.1    153357.4
160          973.1     24478.3    104901.5    164022.7
168         1066.7     36703.7    113027.2    174710.3
176         2778.1     44714.1    121109.8    185266.4
184         5153.0     49769.9    129603.4    195900.4
192         8495.4     55457.4    137800.4    207063.0
200        14249.5     60464.4    145445.2    217719.9
208        20335.7     65859.5    153593.4    228719.1
216        27617.1     71837.3    161334.5    239524.8
224        34890.4     76845.5    169481.4    251106.4
232        40088.9     82587.1    177463.4    261584.3
240        44868.4     87909.4    186626.1    273095.7
