# ТОЖДЕСТВЕННЫЙ ОТПЕЧАТОК, РАЗНАЯ ЖИВОСТЬ: 192 команды ALU у ВСЕХ членов, 8 варпов
# модель по каналам даёт ВСЕМ период 776 (ResMII = RecMII = 768 + цепь управления)
тело        NC   NP    cap=40    cap=64    cap=96   cap=128   cap=255
q192x1     192    1     783.5     783.5     783.5     783.6     783.5
q96x2       96    2     776.3     776.3     776.3     776.3     776.3
q64x3       64    3     776.3     776.2     776.3     776.2     776.3
q48x4       48    4     776.3     776.3     776.3     776.3     776.3
q32x6       32    6     776.3     776.3     776.3     776.3     776.3
q24x8       24    8     776.3     776.3     776.3     776.3     776.3
q16x12      16   12     776.3     776.3     776.3     776.3     776.3
q12x16      12   16     776.3     776.3     776.3     776.3     776.3
q8x24        8   24     776.3     776.3     776.3     776.3     776.3
q6x32        6   32     776.3     776.3     776.3     776.3     776.3
q4x48        4   48    9236.7     776.3     776.3     776.3     776.3
q3x64        3   64   23136.4    1983.1     776.3     776.3     776.3
q2x96        2   96   33916.8   15969.8    1414.7     776.4     776.4
q1x192       1  192   56246.3   48469.7   34728.8   15147.8     777.5
