вариант       варп     замер     T_low   ошибка    ResMII   RecMII    T_high   в кор. связ.  
c1               4     26.08      6.00   -77.0%       6.0      0.0     13.00      НЕТ ISSUE  
c1               8     27.08     12.00   -55.7%      12.0      0.0     14.00      НЕТ ISSUE  
c1              12     27.07     18.00   -33.5%      18.0      0.0     20.96      НЕТ ISSUE  
c1              16     31.76     24.00   -24.4%      24.0      0.0     26.15      НЕТ ISSUE  
c16              4     71.09     64.00   -10.0%      34.0     64.0     64.00      НЕТ ALU    
c16              8     79.08     68.00   -14.0%      68.0     64.0     71.07      НЕТ ALU    
c16             12    112.22    102.00    -9.1%     102.0     64.0    102.00      НЕТ ALU    
c16             16    147.43    136.00    -7.8%     136.0     64.0     68.00      НЕТ ALU    
c16x1            4     71.09     64.00   -10.0%      34.0     64.0     64.00      НЕТ ALU    
c16x1            8     79.08     68.00   -14.0%      68.0     64.0     71.07      НЕТ ALU    
c16x1           12    112.22    102.00    -9.1%     102.0     64.0    102.00      НЕТ ALU    
c16x1           16    147.43    136.00    -7.8%     136.0     64.0     68.00      НЕТ ALU    
c16x2            4     79.08     66.00   -16.5%      66.0     64.0     67.00      НЕТ ALU    
c16x2            8    138.19    132.00    -4.5%     132.0     64.0    133.96      НЕТ ALU    
c16x2           12    205.12    198.00    -3.5%     198.0     64.0    198.00      НЕТ ALU    
c16x2           16    272.66    264.00    -3.2%     264.0     64.0    132.00      НЕТ ALU    
c1x104           4    221.36    210.00    -5.1%     210.0      4.0    212.00      НЕТ ALU    
c1x104           8    424.38    420.00    -1.0%     420.0      4.0    424.00       да ALU    
c1x104          12    636.31    630.00    -1.0%     630.0      4.0    630.00       да ALU    
c1x104          16    848.45    840.00    -1.0%     840.0      4.0    420.00      НЕТ ALU    
c1x112           4    237.47    226.00    -4.8%     226.0      4.0    228.00      НЕТ ALU    
c1x112           8    456.33    452.00    -0.9%     452.0      4.0    456.00       да ALU    
c1x112          12    684.28    678.00    -0.9%     678.0      4.0    678.00       да ALU    
c1x120           4    253.53    242.00    -4.5%     242.0      4.0    244.00      НЕТ ALU    
c1x120           8    488.44    484.00    -0.9%     484.0      4.0    488.00       да ALU    
